code	gruppe	geschl	gebjahr	alter	abi	kinder	job	berlin	wohnort.alt	uni1	uni2	uni3	uni4	uni5	uni6	uni7	uni8	stim1	stim2	stim3	stim4	stim5	stim6	stim7	stim8	stim9	stim10	stim11	stim12	lz13	lz14	lz15	lz16	lz17	prok	extra	vertraeg	gewiss	neuro	intell	gs.1	gs.2	wm.1	wm.2	ru.1	ru.2	lz.1	lz.2	zuf.inh.1	zuf.inh.2	zuf.bed.1	zuf.bed.2	zuf.bel.1	zuf.bel.2
46	2	1	1977	31	1998	1	2	1	3	1	0	1	0	1	0	0	0	4	2	4	1	4	2	4	5	4	2	1	2	6	5	6	6	5	2.5	5	4.5	4	3.75	4.25	4.75	4.25	2	2	2	4	28	29	4	4	2	2	2.66666666666667	2
47	4	1	1985	23	2005	2	2	1	3	1	1	1	1	1	1	1	1	1	1	5	1	1	1	3	1	5	1	5	1	2	2	1	2	5	3.6	3.25	4.25	3	3.75	3.25	2	-9	2.5	-9	1	-9	12	-9	1.66666666666667	-9	2	-9	1.66666666666667	-9
48	1	1	1983	25	2003	2	1	1	1	1	1	1	1	1	1	0	0	5	4	3	1	2	3	2	5	3	4	1	4	5	4	6	3	2	2.1	4	4.25	4	4.25	3.25	5	-9	4	-9	3.25	-9	20	-9	3	-9	2.66666666666667	-9	3.66666666666667	-9
49	2	1	1980	28	2007	1	2	1	3	1	1	0	0	1	1	0	0	4	3	2	2	2	5	2	4	2	5	2	4	6	6	6	6	-9	2.3	3.25	4.5	3.75	2.75	3.75	4	4.5	4	3.75	4.25	3.75	24	29	2.33333333333333	3	2.33333333333333	3	2.33333333333333	2.66666666666667
50	4	1	1989	19	2008	2	2	1	1	0	1	1	1	1	1	0	1	4	4	2	1	1	4	2	4	1	5	1	5	6	6	6	6	7	2.7	3.25	4	3	3.5	4	4.5	-9	4.5	-9	4.5	-9	31	-9	2	-9	3.66666666666667	-9	4	-9
51	2	2	1985	23	2005	1	1	1	-9	-9	0	1	0	1	1	1	0	3	2	4	2	2	2	2	3	3	3	2	3	5	4	6	6	5	3	4.25	4.5	3.5	3.75	4	3.5	-9	3.25	-9	2.5	-9	26	-9	3	-9	1.66666666666667	-9	3	-9
52	1	1	1985	23	2005	2	2	1	1	0	1	1	1	1	1	1	0	4	4	1	2	3	3	4	4	1	3	2	3	5	6	5	4	5	3.1	3.5	3	2.25	3.75	3.5	4	4.25	3	4	4	2.5	25	26	2.33333333333333	3.33333333333333	3.33333333333333	2.66666666666667	3.33333333333333	3.66666666666667
53	3	1	1987	21	2006	2	2	1	1	1	1	0	1	1	1	0	0	3	4	3	1	2	4	2	3	2	2	2	4	4	5	4	3	2	3.6	3.5	4.25	3.25	3.25	3.5	3.75	2	3.5	2.25	3.75	2.25	18	20	4	3.33333333333333	3	3	2.33333333333333	2
54	1	1	1987	21	2007	-9	-9	-9	4	0	0	1	0	1	0	0	0	4	2	4	2	3	4	3	4	3	4	2	4	4	7	6	7	4	2.7	4	3.75	3.5	4.25	4.5	4	-9	3	-9	3.25	-9	28	-9	3.33333333333333	-9	2.33333333333333	-9	3.33333333333333	-9
55	3	1	1978	30	1997	2	1	2	3	1	1	0	1	1	1	0	0	4	2	3	1	2	1	1	4	4	4	2	1	6	4	6	5	6	3	3.25	4.5	4.25	3	4	4.25	4.25	3.75	4	1.75	2	27	26	4	4	3.66666666666667	3.33333333333333	2.66666666666667	3.33333333333333
56	2	1	1981	27	2001	2	1	1	3	1	1	1	1	1	1	0	0	4	4	3	2	3	3	3	4	3	4	2	4	3	4	3	2	3	2.8	3.75	-9	4.25	4.75	3.75	4	-9	3.5	-9	3.25	-9	15	-9	3	-9	1.66666666666667	-9	1.66666666666667	-9
57	3	1	1985	23	2004	2	2	2	4	1	1	1	1	1	1	1	1	5	3	2	1	3	4	3	5	2	3	1	3	5	6	6	6	5	1.6	3.75	4	3.25	2.5	3	5	-9	3	-9	3.75	-9	28	-9	4	-9	4	-9	3.33333333333333	-9
58	2	2	1989	19	2007	2	2	1	3	0	1	1	1	1	0	0	0	3	1	2	2	4	3	4	3	2	2	2	4	5	4	6	6	7	2.4	4	3.75	4	4	3	3.5	-9	1.75	-9	3.75	-9	28	-9	2.33333333333333	-9	3	-9	2.66666666666667	-9
59	2	1	1990	18	2008	2	2	1	2	1	1	1	1	1	0	1	1	3	2	4	3	4	4	4	4	3	2	2	3	4	4	4	5	4	3.2	3.25	3.5	3.25	3	3.75	3.5	-9	2	-9	3	-9	21	-9	3	-9	3.66666666666667	-9	2.66666666666667	-9
60	2	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	4	3	2	2	2	3	2	4	2	4	2	4	6	6	6	6	6	-9	4	3.25	4.25	4	3.75	4	-9	3.75	-9	3.75	-9	30	-9	-9	-9	-9	-9	-9	-9
61	2	1	1988	20	2008	2	2	1	2	0	1	1	1	1	0	1	0	4	3	2	2	3	4	2	4	2	4	2	4	6	5	6	6	4	2.6	3.5	3.75	3.75	4	3.5	4	-9	3.5	-9	4	-9	27	-9	-9	-9	2	-9	2.66666666666667	-9
62	1	1	1987	21	2007	-9	-9	-9	4	0	0	1	0	1	1	0	1	4	4	1	1	1	4	2	4	1	3	1	5	7	6	7	7	7	1.7	3.5	4	3.75	3	3.75	4.5	-9	4	-9	4.75	-9	34	-9	3.33333333333333	-9	3.33333333333333	-9	3	-9
63	3	1	1985	23	2005	2	1	1	3	0	1	0	1	1	1	0	0	3	1	3	3	5	1	5	4	5	1	4	2	5	4	5	4	4	3.6	4	4.25	2	4.5	4.5	3	3	1	2.75	1.75	2.75	22	26	3	3	2	2.66666666666667	1.66666666666667	2
64	1	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	3	3	2	2	2	4	3	4	3	3	2	3	5	6	5	3	4	-9	3.5	3.75	2.75	4.25	3.5	3.75	-9	3.25	-9	3.5	-9	23	-9	-9	-9	-9	-9	-9	-9
65	4	1	1974	34	1944	2	1	1	3	0	1	1	1	0	1	0	0	2	1	4	3	4	3	4	3	2	3	1	2	4	5	4	3	2	2.7	3.75	4.5	3.5	4.5	3.25	3.25	-9	2	-9	2.75	-9	18	-9	2.33333333333333	-9	2	-9	2.66666666666667	-9
66	4	1	1989	19	2008	2	2	1	1	-9	0	0	1	1	1	1	0	3	2	2	3	4	4	4	3	2	3	3	4	6	5	6	5	6	2.5	4.25	4.75	2.75	3.5	3	3	4.25	2.25	2.75	4	4.5	28	26	3	3	2.33333333333333	2.66666666666667	3.33333333333333	3.66666666666667
67	1	2	1987	21	2006	2	2	1	2	0	1	1	1	1	1	0	0	4	4	2	2	2	4	2	4	1	4	2	4	6	5	6	4	6	3.2	4.5	2.75	2	3	3	4	-9	4	-9	4.25	-9	27	-9	3.66666666666667	-9	3	-9	3	-9
68	4	2	1988	20	2005	2	2	1	4	-9	1	1	0	1	1	1	0	4	2	2	1	3	4	2	4	2	2	2	3	4	4	5	5	4	2.7	2.75	3.5	2.75	2.5	3	4.25	-9	2.75	-9	3.75	-9	22	-9	4	-9	4	-9	3	-9
69	1	1	1982	26	-9	2	1	1	3	0	0	0	0	0	0	0	0	-9	3	2	2	4	2	3	3	2	3	2	3	5	4	4	4	2	3	3.25	4.25	4	4.75	3	3.66666666666667	-9	2.75	-9	3.25	-9	19	-9	-9	-9	-9	-9	-9	-9
70	2	2	1985	23	2005	2	2	1	3	0	1	0	1	1	1	1	1	4	3	3	1	2	4	2	4	3	4	1	4	7	7	6	7	5	2.5	4.25	4	3	3.25	4	4.5	-9	3.75	-9	3.5	-9	32	-9	-9	-9	2	-9	3.33333333333333	-9
71	2	2	1981	27	2001	2	1	1	3	0	1	0	1	1	1	0	0	3	-9	4	2	2	3	4	3	2	4	2	4	6	5	6	4	4	2.2	3.25	3.75	3.25	2.75	4	3.5	-9	3.33333333333333	-9	3.25	-9	25	-9	3.66666666666667	-9	2.66666666666667	-9	2.33333333333333	-9
72	2	1	1987	21	2007	2	1	2	-9	-9	-9	-9	-9	-9	-9	-9	-9	4	3	2	1	1	4	3	4	1	4	1	4	6	5	6	6	7	1.7	4.5	3.25	-9	3.25	3.75	4.5	5	3.75	5	4.25	4.5	30	31	3.66666666666667	3.66666666666667	2.33333333333333	3.33333333333333	3.33333333333333	3.66666666666667
73	1	1	1982	26	-9	2	1	1	1	0	0	0	0	0	0	0	0	3	5	2	3	2	3	1	3	2	2	2	4	4	5	6	5	6	3.3	2	3.5	2.75	3.25	2.75	3.25	-9	4	-9	3.75	-9	26	-9	-9	-9	-9	-9	-9	-9
74	1	1	1983	25	2007	2	1	1	1	0	1	0	1	1	1	0	0	3	2	4	3	3	2	3	3	4	3	3	2	5	4	4	4	4	2.2	3.25	3	3.5	3.25	3	3	3.25	2.75	2.5	2	2.5	21	22	3	2.33333333333333	-9	2	3	1
75	4	1	1972	36	1992	2	1	1	3	1	1	1	0	1	1	0	0	3	4	4	2	1	3	2	3	3	4	3	3	2	3	3	2	2	1.9	3.25	4	4.5	4.75	4	3.25	3	4.25	4.5	2.75	2	12	17	2.66666666666667	3	1.66666666666667	2.33333333333333	1.66666666666667	2
76	2	1	1988	20	2007	2	2	1	3	1	1	1	1	1	1	0	0	1	3	2	3	2	1	2	2	2	1	2	2	3	4	2	3	1	3.7	2	3.75	3	3.75	2.25	2.5	-9	3	-9	2.75	-9	13	-9	2.66666666666667	-9	3.66666666666667	-9	2.33333333333333	-9
77	1	1	1988	20	2007	2	2	2	1	0	1	1	1	1	0	0	0	3	4	3	1	2	3	3	4	4	4	1	3	5	5	5	5	4	2	4.25	4	4.25	3.25	3.75	4.25	4.25	3.75	3.75	2.75	4.5	24	26	3.66666666666667	3.33333333333333	3.66666666666667	4	4	2.33333333333333
78	4	1	1964	44	1986	2	1	1	3	0	1	1	1	1	1	0	1	1	4	4	2	2	2	2	4	2	3	1	4	6	5	6	7	6	1.9	3.5	4.75	4.5	2.75	4	3.5	-9	3.75	-9	3	-9	30	-9	3	-9	1.33333333333333	-9	2.66666666666667	-9
79	4	2	1986	22	2006	2	2	1	1	0	1	1	1	1	1	1	0	3	2	4	2	3	4	4	3	2	3	2	3	6	5	4	7	4	2.9	2.75	2.5	3.5	3.25	2.75	3.5	4.25	2.5	2.75	3.25	3	26	27	3.66666666666667	3.66666666666667	3	2	3.33333333333333	3
80	1	1	1972	36	1992	2	1	-9	-9	-9	1	1	1	0	1	1	0	3	4	2	2	2	4	3	3	2	3	2	4	4	4	3	3	1	2.1	2.75	4	4.25	5	3.75	3.5	-9	3.5	-9	4	-9	15	-9	2.66666666666667	-9	2.33333333333333	-9	1.66666666666667	-9
81	3	2	1989	19	2008	2	1	1	2	1	1	1	1	1	1	0	1	3	2	2	2	3	5	4	3	3	3	2	4	5	6	5	3	5	2	3	3.5	4.75	4.25	3.75	3.5	-9	2.5	-9	4	-9	24	-9	2.66666666666667	-9	3.33333333333333	-9	2.66666666666667	-9
82	3	-9	1979	29	2000	2	-9	-9	3	0	1	0	1	1	1	0	0	3	1	5	3	4	1	4	3	4	4	3	1	4	3	4	3	3	3	4.75	4.75	4.75	4	3.75	3	4.25	2.25	3.5	1.25	3.75	17	19	-9	2.66666666666667	-9	1	-9	2.33333333333333
83	2	1	1978	30	1998	2	1	1	3	1	1	1	1	1	1	0	0	4	3	4	3	3	2	4	3	5	4	4	2	2	3	3	2	3	3.5	3.25	3.75	4.25	3.25	4.25	3	-9	3	-9	1.75	-9	13	-9	2.33333333333333	-9	1	-9	1	-9
84	4	1	1984	24	2001	1	1	1	3	1	1	1	1	1	1	0	0	1	2	5	3	3	3	4	1	5	3	3	1	1	3	4	6	4	3.1	2.75	3.25	3	4.5	3.25	2	3.25	2.5	2.75	1.5	2	18	22	3	3	1.66666666666667	2.33333333333333	1.66666666666667	2.33333333333333
85	2	1	1972	36	2007	1	1	1	3	1	0	1	0	1	1	0	0	4	3	2	2	2	3	3	4	2	4	2	4	3	4	6	5	5	1.6	3.75	4	4	3.25	3	4	-9	3.5	-9	3.75	-9	23	-9	4	-9	4	-9	3	-9
86	2	2	1985	23	2005	2	2	1	1	0	1	1	1	1	1	0	0	3	3	4	3	3	3	3	3	4	3	3	3	3	6	6	3	4	1.5	3.25	3.5	4.25	3	5	3	-9	3	-9	2.5	-9	22	-9	4	-9	3.33333333333333	-9	3.66666666666667	-9
87	3	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	3	3	1	1	2	4	4	4	2	2	2	2	4	5	6	7	6	-9	3.75	3.75	4.25	3.25	3.5	4	-9	2.75	-9	3.75	-9	28	-9	-9	-9	-9	-9	-9	-9
88	1	2	1985	23	2005	2	2	1	1	0	1	0	1	1	1	1	0	5	3	1	1	4	5	4	4	1	4	1	4	5	5	6	1	6	2.9	3.25	4.75	2.75	3.25	4	4.75	-9	2.75	-9	4.75	-9	23	-9	4	-9	3	-9	3	-9
89	1	2	1979	29	1999	2	1	1	1	0	1	0	1	1	0	0	0	4	3	2	1	1	3	2	4	1	3	1	3	5	6	6	6	5	1.9	4.25	-9	3.75	3.75	4.25	4.5	-9	3.75	-9	3.75	-9	28	-9	4	-9	3	-9	4	-9
90	4	1	1986	22	2006	2	1	1	2	1	1	1	1	1	1	1	1	4	2	3	2	4	3	4	3	3	2	2	3	5	4	6	3	5	2.3	3.75	4	4	3.25	3.5	3.75	-9	2	-9	3	-9	23	-9	4	-9	2.33333333333333	-9	2.33333333333333	-9
91	4	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	2	2	5	2	3	1	4	3	5	3	2	1	3	4	6	4	3	-9	3.5	3.25	3.25	4.75	2.75	3.25	-9	2.5	-9	1	-9	20	-9	-9	-9	-9	-9	-9	-9
92	2	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	4	2	2	2	4	4	5	4	2	3	2	4	5	6	6	4	4	-9	3.75	3.75	3.25	3	3.75	4	-9	2	-9	4	-9	25	-9	-9	-9	-9	-9	-9	-9
